Dataset,p,alpha,RCBS_solution,RCBS_time,DL-RCBS_solution,DL-RCBS_time,ARCBS_solution,ARCBS_time,DL-ARCBS_solution,DL-ARCBS_time,IRCBS_solution,IRCBS_time,DL-IRCBS_solution,DL-IRCBS_time,IARCBS_solution,IARCBS_time,DL-IARCBS_solution,DL-IARCBS_time,CPLEX_solution,CPLEX_time
ap100,5,0.6,689298.325,1178.5096,669250.6549,2488.7272,689298.325,1882.0761,669250.6549,2457.5352,684496.7992,2669.6657,665740.9046,3527.2567,684496.7992,3140.6996,664820.3445,3445.132,666817.8412,14400.9631
ap100,5,0.7,723413.4203,2469.8179,704032.4334,3237.2506,723413.4203,3632.4194,704032.4334,4469.5615,716668.5071,2996.9529,698657.8947,4402.5406,716668.5071,4551.7472,698597.0924,5329.2179,702954.6425,14400.6294
ap100,5,0.8,757528.5157,5051.7523,738721.3097,4461.0947,757528.5157,5336.6876,738721.3097,6212.1465,748840.2149,5066.3567,731402.7915,4695.4738,748840.2149,6579.2685,731402.7915,6477.7621,735374.7782,14400.5898
ap100,10,0.2,395298.7083,377.0101,406802.535,1122.6645,395298.3338,309.7216,406802.535,1129.8501,388809.5017,1180.6623,404800.6968,839.2388,388809.5017,929.4102,404800.6968,1201.341,386349.1537,7746.8743
ap100,10,0.3,444183.336,384.273,448871.5719,1258.5299,444183.336,350.5475,448871.5719,1378.2205,438898.0358,2976.8053,447803.4112,1888.5718,438898.0358,2350.7573,447803.4112,2414.4628,435521.4366,14400.7189
ap100,10,0.4,491912.4138,1136.761,490237.954,1147.9785,491912.4138,1073.0708,490237.954,2334.5299,487322.6339,3973.4901,490237.954,3743.0876,487322.6339,3387.0189,490237.954,4739.9523,482789.8344,14400.6499
ap100,10,0.5,539000.5512,2316.8613,531602.8845,1530.326,539000.5512,2682.9079,531602.8845,2367.8854,534566.0645,10694.7884,531602.8845,4157.8278,534566.0645,13051.6648,531602.8845,6574.7902,528218.0983,14400.7808
ap100,10,0.6,585661.9087,7870.5724,572777.1652,2592.5754,585661.9087,8806.8479,572777.1652,5252.6975,579747.0542,14400.6585,572777.1652,10975.913,579747.0542,14400.6226,572814.8804,14400.6863,575410.6945,14400.6035
ap100,10,0.7,632034.0476,14400.9651,612748.4003,4695.7155,632089.7043,14400.7235,612748.4003,12601.3993,624590.7724,14401.0265,612748.4003,14400.5246,624460.4597,14400.5917,614933.7862,14400.6899,621183.1788,14400.5511
ap100,10,0.8,677049.5202,14401.0045,652681.9203,14063.4134,676755.5142,14400.6356,653126.1781,14400.5802,669521.9144,14400.7995,656090.4608,14400.7183,668023.613,14400.834,654989.5344,14400.6216,655354.1554,14400.5651
